Row_id,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Timestamp
0, 0.010105988024, 2.07696826347, 0.0119401197605, 1.17348742515, 1.17366047904, 1.17360179641, 1.17364610778, 1.17370718563, 2021-01-10 17:01:16.884945
1, 0.0101449101796, 2.07639520958, 0.0119413173653, 1.17342934132, 1.17355808383, 1.17352874251, 1.17353353293, 1.17349221557, 2021-01-10 17:01:17.267833
2, 0.0101449101796, 2.07725988024, 0.0119371257485, 1.17343413174, 1.17354610778, 1.1734988024, 1.17354550898, 1.17354610778, 2021-01-10 17:01:17.650631
3, 0.0101437125749, 2.0741245509, 0.0119395209581, 1.17337964072, 1.17351556886, 1.17344610778, 1.17351017964, 1.17346826347, 2021-01-10 17:01:18.033340
4, 0.0101449101796, 2.0707491018, 0.0119383233533, 1.17336407186, 1.17347305389, 1.17345808383, 1.17349461078, 1.17349221557, 2021-01-10 17:01:18.416613
5, 0.010145508982, 2.07092215569, 0.0119425149701, 1.1730760479, 1.17352814371, 1.17348802395, 1.1734742515, 1.17344610778, 2021-01-10 17:01:18.799411
6, 0.0101443113772, 2.07544131737, 0.0119419161677, 1.17341317365, 1.17354011976, 1.17347305389, 1.17344491018, 1.17333892216, 2021-01-10 17:01:19.182131
7, 0.0101449101796, 2.24785928144, 0.0119419161677, 1.17341317365, 1.17317305389, 1.17348862275, 1.17347005988, 1.17347664671, 2021-01-10 17:01:19.564951
8, 0.0101449101796, 2.14134011976, 0.0119413173653, 1.17327245509, 1.1731988024, 1.17353413174, 1.17358802395, 1.17366706587, 2021-01-10 17:01:19.947696
9, 0.010145508982, 2.36711736527, 0.0119449101796, 1.17343473054, 1.17348982036, 1.17359820359, 1.17361916168, 1.17373532934, 2021-01-10 17:01:20.330360
10, 0.010145508982, 2.44583473054, 0.0119467065868, 1.17360479042, 1.17376766467, 1.17327305389, 1.17368143713, 1.1737011976, 2021-01-10 17:01:20.713038
11, 0.0101443113772, 2.56313293413, 0.0119449101796, 1.17353832335, 1.17373293413, 1.17353952096, 1.17309760479, 1.1736742515, 2021-01-10 17:01:21.095754
12, 0.010145508982, 2.50668562874, 0.0119449101796, 1.1735508982, 1.17368562874, 1.17362934132, 1.17364431138, 1.1737245509, 2021-01-10 17:01:21.478412
13, 0.0101467065868, 2.39818862275, 0.011945508982, 1.17351437126, 1.17329760479, 1.17356407186, 1.17354670659, 1.17343233533, 2021-01-10 17:01:21.861141
14, 0.0101473053892, 2.52729760479, 0.0119461077844, 1.1734988024, 1.1734011976, 1.1736508982, 1.17334131737, 1.17315209581, 2021-01-10 17:01:22.243867
15, 0.0101467065868, 2.72426107784, 0.011945508982, 1.17336646707, 1.17351377246, 1.17329281437, 1.1734239521, 1.17347365269, 2021-01-10 17:01:22.626531
16, 0.010145508982, 2.43621676647, 0.011945508982, 1.17347724551, 1.1736491018, 1.17352634731, 1.17357784431, 1.17356167665, 2021-01-10 17:01:23.009150
17, 0.0589089820359, 2.40386586826, 0.011948502994, 1.17351017964, 1.17368083832, 1.17359640719, 1.17363113772, 1.17358922156, 2021-01-10 17:01:23.391830
18, 0.22162994012, 2.381, 0.0119502994012, 1.17348562874, 1.17366347305, 1.17363952096, 1.1735994012, 1.1735994012, 2021-01-10 17:01:23.774534
19, 0.304650299401, 2.36945269461, 0.0119497005988, 1.17352634731, 1.17363712575, 1.17359161677, 1.17359760479, 1.17357664671, 2021-01-10 17:01:24.157197
20, 0.353963473054, 2.36511497006, 0.0119491017964, 1.17346946108, 1.1736005988, 1.1735497006, 1.17355928144, 1.17355748503, 2021-01-10 17:01:24.539884
21, 0.537156886228, 2.36203473054, 0.0119491017964, 1.1735, 1.17360958084, 1.17354670659, 1.17355389222, 1.17358383234, 2021-01-10 17:01:24.922604
22, 0.592047904192, 2.35889580838, 0.0119497005988, 1.17345568862, 1.17365748503, 1.17359161677, 1.17358622754, 1.17358922156, 2021-01-10 17:01:25.305255
23, 0.711662275449, 2.34412275449, 0.0119497005988, 1.17355688623, 1.17375449102, 1.17367724551, 1.17359341317, 1.17367245509, 2021-01-10 17:01:25.687934
24, 0.711746706587, 2.48430239521, 0.0119497005988, 1.17346706587, 1.17364790419, 1.17359101796, 1.17354371257, 1.1735491018, 2021-01-10 17:01:26.070648
25, 0.711792215569, 2.50918383234, 0.0119502994012, 1.17346227545, 1.17356287425, 1.17353652695, 1.1735245509, 1.1735245509, 2021-01-10 17:01:26.453309
26, 0.711723952096, 2.44230359281, 0.0119437125749, 1.17349580838, 1.17361916168, 1.17354790419, 1.17357005988, 1.17354191617, 2021-01-10 17:01:26.835988
27, 0.711641916168, 2.43737065868, 0.0119497005988, 1.17293832335, 1.1736251497, 1.17354670659, 1.17353053892, 1.17356227545, 2021-01-10 17:01:27.218831
28, 0.711666467066, 2.43322874251, 0.0119497005988, 1.17345748503, 1.17362994012, 1.17356706587, 1.17355508982, 1.17356826347, 2021-01-10 17:01:27.601480
29, 0.711705389222, 2.42533712575, 0.0119502994012, 1.17349041916, 1.17306167665, 1.17358023952, 1.17354071856, 1.17350419162, 2021-01-10 17:01:27.984145
30, 0.851593413174, 2.37164011976, 0.0119491017964, 1.17347365269, 1.17309700599, 1.17352155689, 1.17353592814, 1.17353293413, 2021-01-10 17:01:28.366859
31, 0.851908383234, 2.38681556886, 0.0119497005988, 1.17344491018, 1.17342634731, 1.17354251497, 1.17353952096, 1.17349760479, 2021-01-10 17:01:28.749533
